representative_ICE,ICE_fullname,pairwise_identity_w_representative_ICE_excl_transposase,transposase_insertion_vs_representative_ICE,ICE_host_strain_ID,RSSC_lineage,year_of_isolation,global_region_of_isolation,country_of_isolation,area_or_nearest_village,material_of_isolation,Clade_of_isolation,order_of_isolation,host_genus_of_isolation,host_spp_of_isolation
ICERps_FQY_4,FQY_4_ICE,NA,,FQY_4,RpsI,,Asia,China,,,,,,
ICERps_GMI1000,GRsMep_ICE,100,,GRsMep,RpsI,2013,Asia,India,,,Monocot,Zingiberales,Zingiber,Zingiber officinale
ICERps_RS10-1,362200_ICE,99.98,IS1420_IS481,362200,RpsI,2016,Asia,China,,,Eudicot,Fabales,Arachis,Arachis hypogaea
ICERps_RS10-1,Bg07_ICE,99.99,IS481,Bg07,RpsI,2017,Asia,China,,,Eudicot,Cucurbitales,Momordica,Momordica charantia
ICERps_RS10-1,HA4-1_ICE,99.98,IS481,HA4-1,RpsI,2010,Asia,China,,,Eudicot,Fabales,Arachis,Arachis hypogaea
ICERps_RS10-1,PeaFJ1_ICE,99.98,IS481,PeaFJ1,RpsI,2014,Asia,China,,,Eudicot,Fabales,Arachis,Arachis hypogaea
ICERps_RS10-1,RS10_ICE_1,NA,,RS10,RpsI,2018,Asia,China,,,Eudicot,Solanales,Nicotiana,Nicotiana tabacum
ICERps_RS10-1,SY1_ICE,99.99,,SY1,RpsI,2020,Asia,China,,,Eudicot,Lamiales,Pogostemon,Pogostemon cablin
ICERps_RS10-2,RS10_ICE_2,NA,,RS10,RpsI,2018,Asia,China,,,Eudicot,Solanales,Nicotiana,Nicotiana tabacum
ICERps_RS24,RS24_ICE,NA,,RS24,RpsI,2018,Asia,China,,,Eudicot,Solanales,Solanum,Solanum muricatum
ICERps_RS638,RS638_ICE,NA,,RS638,RpsI,2020,Asia,China,,,Eudicot,Asterales,Helianthus,Helianthus sp.
ICERps_Tb04,Tb04_ICE,NA,,Tb04,RpsI,2015,Asia,China,,,Eudicot,Solanales,Nicotiana,Nicotiana tabacum
ICERps_YC40-M,YC40-M_ICE,NA,,YC40-M,RpsI,2006,Asia,China,,,Monocot,Zingiberales,Kaempferia,Rhizoma kaempferiae
