RUN_ID,BioProject,NCBI_SRA,NCBI_assembly_accession,Bakta_Annotation,PRAM_strain_ID,Alternative_ID,Assembly_contigs_num,Assembly_length_bp,Assembly_N50,Assembly_QC_pass,original_collection,year_of_isolation,date_of_isolation,latitude_of_isolation,longitude_of_isolation,elevation,global_region_of_isolation,country_of_isolation,area_or_nearest_village,agroecological_zone,preceding_crop_common_name,material_of_isolation,tissue_of_isolation,Clade_of_isolation,order_of_isolation,host_genus_of_isolation,host_spp_of_isolation,host_spp_or_variety_of_isolation,host_common_name,plotting_categories,host_phenotype_of_isolation,notes,assigned_phylotype,phylotype_reassigned_by_tree,assigned_sequevar,discrepancies_to_prior_phylotype
RUN0054,PRJNA1196686,SRR31675778,,Available in Zenodo,GMI1000,JS753,155,5654114,88612,no,Deberdt_et_al_2014,1978,,,,,South America,French Guiana,Kourou,,,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,I,-,18,unknown
RUN0431,PRJNA1196686,SRR31675349,,Available in Zenodo,06041,,64,5556973,209629,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water_irrigation,,Environmental,Environmental,Water,water_irrigation,,,Environmental: Water,,,IIB,IIB,Basal 4NPB,match
RUN0432,PRJNA1196686,SRR31675338,,Available in Zenodo,6039,,61,5556428,255260,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water_irrigation,,Environmental,Environmental,Water,water_irrigation,,,Environmental: Water,,,IIB,IIB,Basal 4NPB,match
RUN0433,PRJNA1196686,SRR31675567,,Available in Zenodo,6038,,62,5558925,253813,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water_irrigation,,Environmental,Environmental,Water,water_irrigation,,,Environmental: Water,,,IIB,IIB,Basal 4NPB,match
RUN0434,PRJNA1196686,SRR31675556,,Available in Zenodo,06037,,37,5510342,299047,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water_irrigation,,Environmental,Environmental,Water,water_irrigation,,,Environmental: Water,,,IIA,IIA,41,match
RUN0435,PRJNA1196686,-,,Available in Zenodo,06036,,,,,no,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water_irrigation,,Environmental,Environmental,Water,water_irrigation,,,Environmental: Water,,,IIB,-,4 or 4NPB,unknown
RUN0436,PRJNA1196686,SRR31675689,,Available in Zenodo,06035,,108,5510518,149430,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water_irrigation,,Environmental,Environmental,Water,water_irrigation,,,Environmental: Water,,,IIA,IIA,38,match
RUN0437,PRJNA1196686,SRR31675678,,Available in Zenodo,06034,,73,5616018,186378,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water_irrigation,,Environmental,Environmental,Water,water_irrigation,,,Environmental: Water,,,IIB,IIA,,discrepancy
RUN0609,PRJNA1196686,SRR31675672,,Available in Zenodo,LNPV32.36,,74,5426698,170706,yes,Deberdt_et_al_2014,,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,IIB,4,match
RUN0610,PRJNA1196686,-,,Available in Zenodo,LNPV32.37,,,,,no,Deberdt_et_al_2014,,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,-,4,unknown
